series_id,Manufacturing,footnote_codes_x,date,supersector_code,industry_code,data_type_code,seasonal,series_title,footnote_codes_y,begin_year,begin_period,end_year,end_period
CES3000000001    ,12204.0,,1941-06-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000025    ,11953.0,,1941-06-01,30,30000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, manufacturing, seasonally adjusted",,1939,M03,2022,M12
CEU3000000006    ,10641.0,,1941-06-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,12410.0,,1941-07-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,10902.0,,1941-07-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,10909.0,,1941-07-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,12382.0,,1941-07-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,12532.0,,1941-08-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,11049.0,,1941-08-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,12654.0,,1941-08-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,11146.0,,1941-08-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,12683.0,,1941-09-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,11171.0,,1941-09-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000025    ,12532.0,,1941-09-01,30,30000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, manufacturing, seasonally adjusted",,1939,M03,2022,M12
CEU3000000006    ,11360.0,,1941-09-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,12875.0,,1941-09-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,11249.0,,1941-10-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,12931.0,,1941-10-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,11406.0,,1941-10-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,12770.0,,1941-10-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,11380.0,,1941-11-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,12810.0,,1941-11-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,12903.0,,1941-11-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,11261.0,,1941-11-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,12898.0,,1941-12-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,11349.0,,1941-12-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,12876.0,,1941-12-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000025    ,12819.0,,1941-12-01,30,30000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, manufacturing, seasonally adjusted",,1939,M03,2022,M12
CES3000000006    ,11320.0,,1941-12-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,12824.0,,1942-01-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,11294.0,,1942-01-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,12965.0,,1942-01-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,11408.0,,1942-01-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,13032.0,,1942-02-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,11495.0,,1942-02-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,11575.0,,1942-02-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,13127.0,,1942-02-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,11686.0,,1942-03-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,13311.0,,1942-03-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,13231.0,,1942-03-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,11760.0,,1942-03-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000025    ,13134.0,,1942-03-01,30,30000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, manufacturing, seasonally adjusted",,1939,M03,2022,M12
CEU3000000001    ,13424.0,,1942-04-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,13509.0,,1942-04-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,11955.0,,1942-04-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,11864.0,,1942-04-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,12038.0,,1942-05-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,13603.0,,1942-05-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,12158.0,,1942-05-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,13704.0,,1942-05-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,13802.0,,1942-06-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,13842.0,,1942-06-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,12266.0,,1942-06-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
